state_po,rep_vote_share,dem_vote_share,totalvotes,state
NE,0.5977599487693579,0.4022400512306421,930693,Nebraska
PA,0.49402461900604133,0.5059753809939587,6829439,Pennsylvania
IL,0.41375223789176063,0.5862477621082394,5883886,Illinois
NJ,0.41922762991462176,0.5807723700853782,4475497,New Jersey
NM,0.4448434742754915,0.5551565257245086,903302,New Mexico
OR,0.41794170401260566,0.5820582959873943,2312612,Oregon
DE,0.40373255835015526,0.5962674416498447,496871,Delaware
MA,0.33139311981375796,0.668606880186242,3469034,Massachusetts
LA,0.5946444045629105,0.4053555954370895,2111810,Louisiana
AR,0.6420752557854934,0.35792474421450654,1183218,Arkansas
SC,0.559266087495821,0.44073391250417904,2476644,South Carolina
IN,0.5820659527062957,0.41793404729370426,2971220,Indiana
OK,0.6694003949690651,0.3305996050309349,1524170,Oklahoma
KY,0.6320010290026297,0.36799897099737033,2099120,Kentucky
IA,0.541834807661192,0.45816519233880804,1656348,Iowa
NV,0.48776882659956194,0.512231173400438,1373376,Nevada
CT,0.39841924123133726,0.6015807587686628,1796226,Connecticut
MD,0.3305734920700712,0.6694265079299287,2943406,Maryland
HI,0.3496733535348512,0.6503266464651488,562994,Hawaii
WY,0.724804343755851,0.27519565624414905,267050,Wyoming
MN,0.46363390654561876,0.5363660934543812,3200385,Minnesota
CO,0.4306041947914993,0.5693958052085006,3168167,Colorado
WV,0.6979797617614593,0.30202023823854074,780898,West Virginia
DC,0.055838764492052224,0.9441612355079477,325437,District of Columbia
TN,0.6188352988562811,0.3811647011437189,2989196,Tennessee
CA,0.34997739530414734,0.6500226046958527,16947806,California
VA,0.44847488549415976,0.5515251145058402,4376196,Virginia
OH,0.5405690775138203,0.45943092248617967,5828380,Ohio
MT,0.5839718009204811,0.41602819907951893,588388,Montana
AL,0.6296710794368888,0.3703289205631112,2277632,Alabama
ME,0.44870778188338645,0.5512922181166136,762913,Maine
NC,0.5068410753696851,0.4931589246303148,5443077,North Carolina
ID,0.6587710235763649,0.3412289764236351,841139,Idaho
TX,0.5282763581235369,0.47172364187646315,11152833,Texas
AK,0.5523398871163355,0.44766011288366453,343008,Alaska
GA,0.498716661561674,0.5012833384383261,4936344,Georgia
MI,0.4858644956417354,0.5141355043582646,5453891,Michigan
MS,0.583796023066983,0.41620397693301703,1296225,Mississippi
KS,0.5774857443339524,0.42251425566604756,1304569,Kansas
MO,0.578334213226956,0.421665786773044,2970056,Missouri
ND,0.6721740842289663,0.3278259157710337,350497,North Dakota
AZ,0.49843168320870684,0.5015683167912931,3333829,Arizona
FL,0.5169475466214156,0.48305245337858443,10965776,Florida
WA,0.40060106033103166,0.5993989396689683,3946692,Washington
NY,0.42481095641915795,0.5751890435808421,6967970,New York
VT,0.3170081344719344,0.6829918655280656,355524,Vermont
WI,0.49682723789652583,0.5031727621034742,3240867,Wisconsin
SD,0.634347798616815,0.365652201383185,411514,South Dakota
NH,0.4625165227840496,0.5374834772159505,790575,New Hampshire
RI,0.39490377888708394,0.605096221112916,506022,Rhode Island
UT,0.6069360512185163,0.39306394878148365,1425422,Utah
