state_po,samples,battleground
AK,0.07381637493250585,False
AL,0.010809300485296802,False
AR,0.015905605533029978,False
CA,0.0014172829506454243,False
CT,0.013743634102948795,False
DC,0.06517898006231677,False
DE,0.04826631504142687,False
HI,0.03390136961533246,False
IA,0.022820412859302645,False
ID,0.02630010659936824,False
IL,0.003709017038671869,False
IN,0.007426971701306805,False
KS,0.018878843818414356,False
KY,0.012982149767899307,False
LA,0.010325258550927401,False
MA,0.007834599419107979,False
MD,0.008435775628217174,False
MO,0.009124343291685051,False
MS,0.016800234128062808,False
MT,0.054267584100720634,False
ND,0.06298700105765673,False
NE,0.027398563281376007,False
NJ,0.006642505958553015,False
NY,0.0025702235184601936,False
OK,0.012383209278005828,False
OR,0.011380510449086797,False
RI,0.04342240275033723,False
SC,0.012236065161125671,False
SD,0.053127815350321426,False
TN,0.00702866847440115,False
TX,0.0031383767922071415,False
UT,0.01653172000381789,False
VT,0.07692443296276057,False
WA,0.006828723660332456,False
WV,0.02678351720031895,False
WY,0.07948040548829478,False
AZ,0.016761195688745695,True
CO,0.01111354991789865,True
FL,0.006518377611198051,True
GA,0.008759187610779,True
ME,0.061746212650980646,True
MI,0.013217371591482686,True
MN,0.014185322730277436,True
NC,0.01277640415542057,True
NH,0.04044977204714825,True
NM,0.023845530560670423,True
NV,0.01753157956934649,True
OH,0.0067584330701251595,True
PA,0.011482590713052479,True
VA,0.006795134543078165,True
WI,0.042422121057963044,True
