model,end_date,battleground,error
ewma_03_lw,2020-10-31,True,-0.01938027080849901
ewma_03_lw,2020-09-14,True,-0.014456369610256392
ewma_03_lw,2020-07-26,True,-0.006069862165602195
ewma_03,2020-10-31,True,-0.015816811796856466
ewma_03,2020-09-14,True,-0.02072111243375259
ewma_03,2020-07-26,True,-0.013371107689375602
ewma_01_lw,2020-10-31,True,-0.021696818860717535
ewma_01_lw,2020-09-14,True,-0.003729748670199932
ewma_01_lw,2020-07-26,True,0.004189934202895973
ewma_01,2020-10-31,True,-0.020039476968471626
ewma_01,2020-09-14,True,-0.011578956515481317
ewma_01,2020-07-26,True,-0.003455663666078938
ewma_1,2020-10-31,True,-0.009007415582855586
ewma_1,2020-09-14,True,-0.02808956420150189
ewma_1,2020-07-26,True,-0.013390801421666798
