state_po,rep_vote_share,dem_vote_share,totalvotes,state,diff,battleground
GA,0.49871666156167405,0.5012833384383261,4936344,Georgia,0.0025666768766520187,True
AZ,0.4984316832087069,0.5015683167912931,3333829,Arizona,0.0031366335825862013,True
WI,0.4968272378965258,0.5031727621034742,3240867,Wisconsin,0.006345524206948394,True
PA,0.4940246190060413,0.5059753809939587,6829439,Pennsylvania,0.011950761987917391,True
NC,0.5068410753696851,0.4931589246303148,5443077,North Carolina,0.013682150739370347,True
NV,0.4877688265995619,0.512231173400438,1373376,Nevada,0.024462346800876167,True
MI,0.4858644956417354,0.5141355043582646,5453891,Michigan,0.02827100871652921,True
FL,0.5169475466214156,0.4830524533785844,10965776,Florida,0.03389509324283124,True
TX,0.5282763581235369,0.4717236418764632,11152833,Texas,0.0565527162470737,True
MN,0.4636339065456188,0.5363660934543812,3200385,Minnesota,0.07273218690876243,True
NH,0.4625165227840496,0.5374834772159505,790575,New Hampshire,0.07496695443190088,True
OH,0.5405690775138203,0.4594309224861797,5828380,Ohio,0.0811381550276406,True
IA,0.5418348076611921,0.458165192338808,1656348,Iowa,0.0836696153223841,True
ME,0.4487077818833865,0.5512922181166136,762913,Maine,0.10258443623322705,True
VA,0.44847488549415976,0.5515251145058402,4376196,Virginia,0.10305022901168043,True
AK,0.5523398871163355,0.4476601128836645,343008,Alaska,0.10467977423267105,False
NM,0.4448434742754915,0.5551565257245086,903302,New Mexico,0.1103130514490171,False
SC,0.5592660874958211,0.44073391250417904,2476644,South Carolina,0.11853217499164204,False
CO,0.4306041947914993,0.5693958052085006,3168167,Colorado,0.13879161041700133,False
NY,0.424810956419158,0.5751890435808421,6967970,New York,0.1503780871616841,False
KS,0.5774857443339524,0.4225142556660476,1304569,Kansas,0.15497148866790478,False
MO,0.5783342132269561,0.421665786773044,2970056,Missouri,0.1566684264539121,False
NJ,0.41922762991462176,0.5807723700853782,4475497,New Jersey,0.16154474017075643,False
OR,0.4179417040126057,0.5820582959873943,2312612,Oregon,0.16411659197478862,False
IN,0.5820659527062957,0.41793404729370426,2971220,Indiana,0.16413190541259143,False
MS,0.583796023066983,0.416203976933017,1296225,Mississippi,0.167592046133966,False
MT,0.5839718009204811,0.4160281990795189,588388,Montana,0.1679436018409622,False
IL,0.41375223789176063,0.5862477621082394,5883886,Illinois,0.17249552421647874,False
LA,0.5946444045629105,0.4053555954370895,2111810,Louisiana,0.18928880912582097,False
DE,0.4037325583501553,0.5962674416498447,496871,Delaware,0.19253488329968937,False
NE,0.5977599487693579,0.4022400512306421,930693,Nebraska,0.1955198975387158,False
WA,0.4006010603310317,0.5993989396689683,3946692,Washington,0.19879787933793658,False
CT,0.3984192412313373,0.6015807587686628,1796226,Connecticut,0.20316151753732548,False
RI,0.394903778887084,0.605096221112916,506022,Rhode Island,0.21019244222583205,False
UT,0.6069360512185163,0.3930639487814837,1425422,Utah,0.21387210243703264,False
TN,0.6188352988562811,0.3811647011437189,2989196,Tennessee,0.23767059771256216,False
AL,0.6296710794368888,0.3703289205631112,2277632,Alabama,0.25934215887377765,False
KY,0.6320010290026297,0.3679989709973703,2099120,Kentucky,0.2640020580052594,False
SD,0.6343477986168149,0.365652201383185,411514,South Dakota,0.26869559723362996,False
AR,0.6420752557854934,0.3579247442145065,1183218,Arkansas,0.284150511570987,False
CA,0.3499773953041473,0.6500226046958527,16947806,California,0.3000452093917054,False
HI,0.3496733535348512,0.6503266464651488,562994,Hawaii,0.30065329293029763,False
ID,0.6587710235763649,0.3412289764236351,841139,Idaho,0.31754204715272977,False
MA,0.331393119813758,0.668606880186242,3469034,Massachusetts,0.337213760372484,False
OK,0.6694003949690651,0.3305996050309349,1524170,Oklahoma,0.33880078993813023,False
MD,0.3305734920700712,0.6694265079299287,2943406,Maryland,0.33885301585985755,False
ND,0.6721740842289663,0.3278259157710337,350497,North Dakota,0.3443481684579326,False
VT,0.3170081344719344,0.6829918655280656,355524,Vermont,0.3659837310561312,False
WV,0.6979797617614593,0.30202023823854074,780898,West Virginia,0.3959595235229185,False
WY,0.7248043437558509,0.27519565624414905,267050,Wyoming,0.44960868751170185,False
DC,0.055838764492052224,0.9441612355079476,325437,District of Columbia,0.8883224710158955,False
