year,state,state_po,state_fips,totalvotes,dem_vote_share,rep_vote_share,diff,battleground
2016,Michigan,MI,26,4799284,0.4727453095086684,0.4749756421999615,0.002353364339231001,True
2016,New Hampshire,NH,33,744296,0.4682626266969056,0.4645866698195342,0.003940568847614068,True
2016,Pennsylvania,PA,42,6115402,0.4785361616456285,0.4857788580374602,0.007510716149803254,True
2016,Wisconsin,WI,55,2976150,0.4645384137224266,0.4721818456731012,0.00815978076059437,True
2016,Florida,FL,12,9420039,0.4782331580580505,0.4902194141659074,0.012376709455509616,True
2016,Minnesota,MN,27,2944782,0.4644503396176695,0.4492519310427733,0.016633874143609728,True
2016,Nevada,NV,32,1125385,0.4791782367811904,0.4550069531760242,0.025874188399704012,True
2016,Maine,ME,23,771892,0.4634521409730895,0.4347667808449887,0.03193582258325056,True
2016,Arizona,AZ,4,2573165,0.4512602184469321,0.4867161647232105,0.037800468020789124,True
2016,North Carolina,NC,37,4741564,0.4617286616820948,0.4982809469618042,0.0380749160743743,True
2016,Georgia,GA,13,4114732,0.4563998335736082,0.5077132605477099,0.05322345198606415,True
2016,Colorado,CO,8,2780220,0.481569803828474,0.4325139737143104,0.05366666745364873,True
2016,Virginia,VA,51,3982752,0.497513528334177,0.4442764701392404,0.05652752554309409,True
2016,Ohio,OH,39,5496487,0.4355807627672002,0.5168765067578619,0.0853536915427181,True
2016,New Mexico,NM,35,798319,0.482556471786341,0.4004251433324272,0.09301589868648219,True
2016,Texas,TX,48,8969226,0.4323525798101196,0.5223468557933538,0.09426451155943971,False
2016,Iowa,IA,19,1565580,0.4175251344549624,0.5116206134467737,0.10127095690240684,False
2016,Delaware,DE,10,441590,0.5335333680563419,0.4192282433931928,0.11997242887362441,False
2016,Oregon,OR,41,2001336,0.5007185200286208,0.3909403518449676,0.12311677890108697,False
2016,Connecticut,CT,9,1644920,0.5456630109670987,0.40926914378814777,0.14283095034527277,False
2016,New Jersey,NJ,34,3874046,0.554530844496942,0.4135038665002945,0.14568380285802596,False
2016,South Carolina,SC,45,2103027,0.4067341978966509,0.5493933268569543,0.1492051272104804,False
2016,Rhode Island,RI,44,464144,0.5440660657037472,0.3889805749939674,0.1662140818531963,False
2016,Alaska,AK,2,318608,0.3655087129011199,0.5128151207753728,0.16771309422136133,False
2016,Washington,WA,53,3317019,0.5253868006182659,0.3683268018663746,0.1757386240012953,False
2016,Illinois,IL,17,5536424,0.558253666987933,0.3876175307382527,0.1804010278142295,False
2016,Mississippi,MS,28,1209357,0.40114788271784096,0.5794103808883564,0.1817969464812012,False
2016,Missouri,MO,29,2808605,0.3813523083523671,0.5677234783816165,0.1963712199113214,False
2016,Indiana,IN,18,2734958,0.3777483968675204,0.5694003344841128,0.20234619049016156,False
2016,Louisiana,LA,22,2029032,0.3844956609851397,0.580886846535688,0.20343354475615583,False
2016,Montana,MT,30,494526,0.35935218775150346,0.5646619186857719,0.2221932863404888,False
2016,Kansas,KS,20,1184402,0.36052370732234496,0.5665458180583958,0.22222940685213333,False
2016,Utah,UT,49,1131317,0.2746126859226901,0.4554081658810042,0.24765796690822572,False
2016,New York,NY,36,7802084,0.5613614259984896,0.3239060230574293,0.26823012999550727,False
2016,Nebraska,NE,31,844227,0.33698756377135536,0.5874735112712576,0.27095348226355137,False
2016,Tennessee,TN,47,2508027,0.34716332798650096,0.6072203369421462,0.27248686090523977,False
2016,Maryland,MD,24,2781446,0.6032574423519277,0.3390930472854767,0.2803249936953878,False
2016,Arkansas,AR,5,1130635,0.3365312412936093,0.6057410216382829,0.2857027537954094,False
2016,Alabama,AL,1,2123372,0.3435794575797364,0.6208309236440906,0.28748287187921484,False
2016,Massachusetts,MA,25,3378821,0.5905006509667129,0.3228620279085515,0.29302557379258987,False
2016,Vermont,VT,50,320467,0.5572274212321393,0.2975938240130809,0.3037285264764074,False
2016,Kentucky,KY,21,1924149,0.3268218833364776,0.6251963855190009,0.31341258035019715,False
2016,South Dakota,SD,46,370093,0.3173742815994899,0.615307503789588,0.31943716158862495,False
2016,California,CA,6,14181595,0.6172639960455788,0.3161710653843943,0.3225644108545977,False
2016,Hawaii,HI,15,437664,0.6098079805512905,0.2943970717262557,0.3488267490107092,False
2016,Idaho,ID,16,690255,0.27492013820979205,0.5926143236919689,0.3662035336161117,False
2016,Oklahoma,OK,40,1452992,0.2893168028454389,0.6532286481962736,0.38609474476656264,False
2016,North Dakota,ND,38,344360,0.2722673945870601,0.6295562783133929,0.39618485793039476,False
2016,West Virginia,WV,54,713051,0.2647692801777152,0.6863057481161936,0.4432210450259154,False
2016,Wyoming,WY,56,258788,0.2162890087639303,0.6739841105460841,0.5141063925830758,False
2016,District of Columbia,DC,11,312575,0.9048388386787172,0.04070383108054067,0.9139037668370817,False
